道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
TC002964,土城區,青雲路, ,信義路,金城路二段,7560.52,548.7,11.7,區,路段,6262.721661,中,82.83%,9,1217.24,6,7,,3,454,,中,593,1,5,33.62071
TC002965,土城區,青雲路, ,信義路,金城路二段,7560.52,99.8,11.7,區,路段,914.3578352,中,12.09%,2,1037,6,7,,3,58,,低,94,NULL,NULL,79.63737
TC002966,土城區,永豐路, ,永豐路,永豐路,4029.38,115.8,6.3,區,路段,76.76345167,低,1.91%,0,NULL,6,7,,3,13,,低,43,NULL,3,69.8432
TS000067,泰山區,新五路一段, ,中港西路,中港南路,1496.57,36.5,41,市,路段,,高,0.00%,0,NULL,11,6,,3,NULL,,低,NULL,NULL,NULL,86.73756
TS000464,泰山區,新五路一段, ,中港南路,新五路一段,20249.87,358,56.6,市,路段,,高,0.00%,2,38.1,11,6,,3,104,,低,NULL,NULL,2,89.17472
TS000491,泰山區,明志路三段, ,中山路二段(縱貫公路),明志路三段,5016.77,330,15.2,市,路段,4.307209491,中,0.09%,6,42.45,11,6,,3,145,,低,11,2,4,71.94096
TS000517,泰山區,橫窠雅路, ,橫窠雅路,泰林路二段,42974.44,3657.9,11.7,市,路段,,中,0.00%,2,16.5,11,,,NULL,34,,低,NULL,NULL,3,65.22979
TS000525,泰山區,新五路一段, ,新五路一段,新五路一段,868.45,26.7,32.5,市,路段,,高,0.00%,0,NULL,11,6,,3,1,,低,NULL,NULL,NULL,100
TS000526,泰山區,新五路一段, ,楓江路,新五路一段,461.14,9.2,50.1,市,路段,,高,0.00%,0,NULL,11,6,,3,12,,低,NULL,NULL,NULL,100
TS000545,泰山區,楓江路, ,明志路一段,新五路一段,7512.21,604.6,12.4,區,路段,237.3572554,中,3.16%,7,50.32,11,6,,3,199,,低,46,NULL,4,88.34096
TS000546,泰山區,大科路, ,大科路,橫窠雅路,50467.75,4840.1,10.4,區,路段,10.12736087,中,0.02%,7,20.18,11,,,NULL,104,,中,5,NULL,8,83.32825
TS000547,泰山區,貴子路, ,明志路三段,中山路二段(縱貫公路),5881.6,483.6,12.2,區,路段,138.0393144,中,2.35%,3,273.87,11,6,,3,28,,低,35,1,1,76.73124
TS000548,泰山區,貴子路, ,中山路二段(縱貫公路),貴子路,1821.79,150,12.1,區,路段,428.6606612,中,23.53%,8,611.2,11,6,,3,16,,低,25,NULL,3,68.98126
TS000550,泰山區,泰林路二段, ,橫窠雅路,明志路一段,17247,1367,12.6,市,路段,0.514359015,中,0.00%,17,138.24,11,6,,3,443,,高,2,4,88,84.13299
TS000552,泰山區,泰林路二段, ,明志路一段,中港西路,9072.38,743.2,12.2,市,路段,6303.574446,中,69.48%,14,263.95,11,6,,3,318,,高,284,6,10,65.25046
TS000554,泰山區,泰林路一段, ,泰林路二段,中山路一段(縱貫公路),5300.65,431.8,12.3,市,路段,2924.774017,中,55.18%,2,6,11,6,,3,146,,中,114,NULL,6,70.41608
TS000555,泰山區,泰林路一段, ,中山路一段(縱貫公路),泰林路一段,6994.09,568,12.3,市,路段,4213.688813,中,60.25%,4,10.45,11,6,,3,247,,低,166,NULL,1,75.68066
TS000556,泰山區,明志路三段, ,明志路二段,中山路二段(縱貫公路),17071.43,1367.2,12.5,市,路段,3.60497014,中,0.02%,22,455.97,11,6,2,3,268,,中,26,4,6,71.77676
