道路區塊,鄉鎮,路名1,路名2,起點路口,迄點路口,道路區塊總面積,路長,路寬,道路轄管,道路類型,投影面積,交通量,投影比例,申請路政,挖掘面積,平均溫度,強降雨,搶修案件,液化潛勢,管線衝突點,淺埋位置回報,埋深,埋深=0,埋深>0,埋深>0.3m且埋深<1.2m,PCI分數
WG000648,五股區,中山二路, ,和平路,中山二路,4083.84,302.7,14.4,區,路段,,中,0.00%,5,137.65,10,102,,2,89,,高,NULL,NULL,100,56.1407
WG000819,五股區,外寮路, ,外寮路,成泰路一段189巷,3687.35,572.2,6.4,區,路段,2.067651086,低,0.06%,0,NULL,10,6,,NULL,2,,低,7,NULL,NULL,89.26467
WG000820,五股區,成泰路一段189巷, ,外寮路,成泰路一段,8877.11,1247.3,7.1,區,路段,11.07452091,低,0.12%,1,17.4,10,6,,3,34,,低,8,NULL,NULL,88.74747
WG000842,五股區,成泰路三段, ,成泰路四段,洲后路,8261.85,297.6,27.8,市,路段,0.00484981,高,0.00%,5,54.09,10,102,,3,73,,中,3,NULL,9,74.93617
WG000848,五股區,凌雲路三段田埔巷, ,孝義路,凌雲路三段,6364.83,1216.4,5.2,區,路段,5.323147507,低,0.08%,1,667.16,10,102,,NULL,2,,低,4,NULL,NULL,92.90114
WG000984,五股區,華富山路, ,華富山路,凌雲路三段,1751,185.9,9.4,區,路段,,中,0.00%,0,NULL,10,8,,NULL,6,,低,NULL,NULL,NULL,48.07014
WG000985,五股區,民義路二段, ,凌雲路三段,民義路二段,6083.28,804.8,7.6,區,路段,1.085975006,低,0.02%,0,NULL,10,5,,NULL,NULL,,低,1,NULL,NULL,36.19756
WG000986,五股區,荖阡坑路, ,荖阡坑路,民義路二段,15.27,2.8,5.5,區,路段,,低,0.00%,0,NULL,10,5,,NULL,NULL,,低,NULL,NULL,NULL,100
WG000987,五股區,成泰路四段, ,成泰路四段,成泰路三段,19557.63,947.5,20.6,市,路段,,高,0.00%,9,70.54,10,102,,3,67,,高,NULL,NULL,13,47.67784
WG001553,五股區,成泰路三段, ,成泰路四段,洲后路,5360.53,297.6,27.8,市,路段,2.030896998,高,0.04%,12,302.15,10,102,,3,153,,高,12,NULL,13,92.72748
WG001555,五股區,凌雲路三段, ,華富山路,民義路二段,2379.07,257.7,9.2,區,路段,,中,0.00%,0,NULL,10,8,,NULL,7,,低,NULL,NULL,NULL,83.4811
WG001556,五股區,御史路二段, ,中直路,御史路二段,9970.47,2539.1,3.9,區,路段,,低,0.00%,1,17.4,10,5,,NULL,NULL,,低,NULL,NULL,NULL,100
WG001557,五股區,凌雲路三段, ,凌雲路三段,凌雲路三段,3107.17,378.9,8.2,區,路段,1.049782481,中,0.03%,0,NULL,10,8,,NULL,2,,低,1,NULL,NULL,100
WG001558,五股區,中直路, ,民義路二段,御史路二段,928.74,132.7,7,區,路段,,低,0.00%,0,NULL,10,5,,NULL,NULL,,低,NULL,NULL,NULL,87.92314
WL000096,萬里區,中福路(萬崁公路), ,中福路(萬崁公路),內中福路(萬崁公路),6984.47,1125.7,6.2,區,路段,15.91328177,低,0.23%,1,2.5,3,14,,NULL,52,,低,9,NULL,1,93.69761
WL000098,萬里區,瑞泉路, ,北28,溪底路,5383.02,1013.4,5.3,區,路段,,低,0.00%,0,NULL,3,126,,NULL,NULL,,低,NULL,NULL,NULL,88.9171
WL000099,萬里區,內崁路, ,溪底路,崁腳路,8281.28,1627,5.1,區,路段,2.818876783,低,0.03%,0,NULL,3,104,,NULL,NULL,,低,1,NULL,NULL,96.50804
WL000100,萬里區,內中福路(萬崁公路), ,崁腳路,中福路(萬崁公路),28611.17,2830.7,10.1,區,路段,18.77302999,中,0.07%,1,0.48,3,14,4,NULL,49,,低,13,NULL,1,81.22542
WL000101,萬里區,崁腳路, ,內崁路,內中福路(萬崁公路),2960.63,496.3,6,區,路段,6.78189309,低,0.23%,0,NULL,3,104,2,NULL,6,,低,5,NULL,NULL,100
WL000102,萬里區,溪底路, ,內崁路,瑞泉路,28739.5,5898.1,4.9,區,路段,,低,0.00%,0,NULL,3,104,,NULL,NULL,,低,NULL,NULL,NULL,100
WL000103,萬里區,崁腳路, ,崁腳路,烏塗炭路,638.38,114,5.6,區,路段,3.115367622,低,0.49%,0,NULL,3,104,3,NULL,1,,低,2,NULL,NULL,91.88661
WL000104,萬里區,烏塗炭路, ,崁腳路,瑞泉路,14579.14,2185.6,6.7,區,路段,7.504161345,低,0.05%,0,NULL,3,104,,NULL,2,,低,3,NULL,NULL,95.09434
WL000105,萬里區,瑞泉路, ,溪底路,烏塗炭路,19456.51,3406.5,5.7,區,路段,,低,0.00%,0,NULL,3,126,,NULL,NULL,,低,NULL,NULL,NULL,96.4494
WL000106,萬里區,二坪路(大坪道路), ,大坪路(大坪道路),太和路(大坪道路),21104.59,2612.3,8.1,區,路段,8.128239167,中,0.04%,1,21,3,104,,NULL,4,,低,12,NULL,NULL,83.49803
WL000112,萬里區,太和路(大坪道路), ,二坪路(大坪道路),內中福路(萬崁公路),21398.91,2540.4,8.4,區,路段,21.03036118,中,0.10%,0,NULL,3,14,,NULL,5,,低,14,NULL,NULL,48.25273
WL000304,萬里區,萬溪右線產業道路, ,萬溪右線產業道路,萬溪右線產業道路,2732.16,470.6,5.8,區,路段,,低,0.00%,0,NULL,3,126,,NULL,NULL,,低,NULL,NULL,NULL,84.95496
WL000305,萬里區, , ,瑞泉路,北28,10741.14,2072.3,5.2,區,路段,,低,0.00%,0,NULL,3,126,,NULL,NULL,,低,NULL,NULL,NULL,96.51597
WL000478,萬里區,大坪路(大坪道路), ,大坪道路,二坪路(大坪道路),15272.22,2536.3,6,區,路段,5.457370799,低,0.04%,0,NULL,3,104,,NULL,1,,低,6,NULL,NULL,95.96111
WL001014,萬里區,中福路(萬崁公路), ,瑪鋉路(萬崁公路),中福路(萬崁公路),11065.7,704.6,15.7,區,路段,10.57420127,中,0.10%,1,2.79,3,14,,NULL,58,,低,8,NULL,NULL,69.31005
WL001212,萬里區,瑪鋉路(萬崁公路), ,瑪鋉頂街(萬崁公路),景美路,1566.83,69.9,19.5,區,路段,1.083354878,高,0.07%,0,NULL,3,14,,NULL,27,,低,12,NULL,NULL,85.97691
WR000031,烏來區,烏來街, ,烏來街(新烏公路),溫泉街,1504.83,278.1,5.4,區,路段,,低,0.00%,2,7,,15,,NULL,94,,低,NULL,2,2,100
WR000036,烏來區,瀑布路, ,瀑布路,環山路,618.2,81,7.6,區,路段,2.812657484,低,0.45%,0,NULL,,15,,NULL,3,,低,4,NULL,1,100
WR000037,烏來區,環山路, ,瀑布路,環山路,3481.54,361.2,9.6,區,路段,,中,0.00%,0,NULL,,15,,NULL,10,,低,NULL,NULL,1,93.89005
WR000039,烏來區,環山路, ,溫泉街,瀑布路,29780.13,3552.8,8.4,區,路段,1.394067827,中,0.00%,10,63.4,,15,,NULL,46,,中,3,1,7,71.05748
WR000069,烏來區,瀑布路, ,溫泉街,瀑布路,2182.09,476.6,4.6,區,路段,,低,0.00%,1,1,,15,,NULL,1,,低,NULL,NULL,NULL,100
WR000162,烏來區,溫泉街, ,環山路,瀑布路,10025.13,1502.6,6.7,區,路段,,低,0.00%,3,160.34,,15,,NULL,79,,中,NULL,1,10,80.44675
WR000168,烏來區,溫泉街, ,環山路,烏來街,3805.91,455.4,6.7,區,路段,,低,0.00%,5,273.7,,15,,NULL,65,,中,NULL,NULL,6,100
YG000008,鶯歌區,中正一路, ,重慶街,文化路,177.91,17,10.5,市,路段,0.14426926,中,0.08%,1,36300,11,9,,NULL,NULL,,低,3,NULL,NULL,100
YG000041,鶯歌區,中正一路, ,中正一路,建國路,1572.28,139.7,11.3,市,路段,,中,0.00%,2,36302.4,11,9,2,NULL,13,,低,NULL,NULL,1,82.42431
YG000043,鶯歌區,尖山埔路, ,鶯桃路,重慶街,5365.17,647.6,8.3,市,路段,,中,0.00%,5,72641.9,11,9,6,NULL,551,,中,NULL,NULL,7,79.46116
YG000077,鶯歌區,中山路, ,西湖路,中正一路,17584.28,1043.4,16.9,區,路段,,高,0.00%,10,72740.88,11,9,19,NULL,367,,中,NULL,NULL,6,64.76696
YG000083,鶯歌區,福德一路, ,福德一路,福德一路,2075.11,120.4,17.2,市,路段,11.30780911,高,0.54%,0,NULL,11,9,,NULL,NULL,,低,6,NULL,NULL,88.94038
YG000084,鶯歌區,西湖路, ,大湖路,中山路,25274.12,2036.2,12.4,區,路段,1021.636145,中,4.04%,3,72612.6,11,9,2,NULL,57,,低,123,NULL,2,24.94104
YG000202,鶯歌區,國慶街, ,重慶街,文化路,1237.4,80.5,15.4,市,路段,12.34025876,中,1.00%,2,72600,11,9,,NULL,NULL,,低,10,NULL,NULL,100
YG000247,鶯歌區,重慶街, ,尖山埔路,國慶街,1431.94,155.5,9.2,市,路段,,中,0.00%,2,72600,11,9,,NULL,24,,低,NULL,NULL,1,100
YG000280,鶯歌區,鶯桃路, ,建國路,尖山埔路,2761.17,249.9,11,市,路段,16.79838278,中,0.61%,3,73188.12,11,9,,NULL,72,,高,8,NULL,32,39.01406
YG000313,鶯歌區,中正一路, ,行政路,中正一路,26608.14,1533.4,17.4,市,路段,32.26578573,高,0.12%,8,72642.42,11,97,4,NULL,540,,高,27,1,17,29.23603
YG000347,鶯歌區,中正一路, ,建國路,行政路,2177.53,186,11.7,市,路段,,中,0.00%,3,36302.44,11,9,2,NULL,62,,低,NULL,NULL,2,63.36038
YG000381,鶯歌區,福德一路, ,福德一路,鶯桃路,3764.93,162.8,23.1,市,路段,28.13468314,高,0.75%,1,12,11,9,,NULL,NULL,,低,4,NULL,NULL,65.84967
YG000409,鶯歌區,中正二路, ,中正二路,中正三路,6316.99,523.2,12.1,區,路段,,中,0.00%,0,NULL,11,9,1,NULL,50,,低,NULL,NULL,NULL,41.02995
YG000426,鶯歌區,大湖路, ,大湖路,西湖路,27886.43,2858.2,9.8,區,路段,403.952908,中,1.45%,7,33.75,11,9,21,NULL,76,,低,81,NULL,3,54.08833
YG000459,鶯歌區,中湖街, ,大湖路,東湖路,2798.82,370,7.6,區,路段,197.025331,低,7.04%,1,5.85,11,9,8,NULL,21,,低,45,NULL,NULL,62.37786
YG000476,鶯歌區,東湖路, ,中湖街,東湖路,669.63,83.3,8,區,路段,5.213397357,低,0.78%,1,53.64,11,9,,NULL,5,,低,7,NULL,NULL,78.55835
YG000588,鶯歌區,中正二路, ,八德路,文化路,13698.85,1199.6,11.4,市,路段,1786.546364,中,13.04%,7,36319.21,11,9,2,NULL,168,,中,391,2,4,88.61907
YG000589,鶯歌區,大湖路, ,山鶯路,大湖路,99.97,7.8,12.8,區,路段,6.360405709,中,6.36%,0,NULL,11,9,,NULL,1,,低,3,NULL,NULL,100
YG000590,鶯歌區,山鶯路, ,山鶯路,大湖路,417.52,36.1,11.6,區,路段,31.8159964,中,7.62%,0,NULL,11,9,,NULL,1,,低,6,NULL,NULL,100
YG000597,鶯歌區,大湖路, ,大湖路,西湖路,10361.91,987.6,10.5,區,路段,,中,0.00%,2,6.92,11,9,1,NULL,20,,低,NULL,NULL,1,50.92497
YG000925,鶯歌區,三鶯路, ,三鶯路,三鶯路,9064.27,822.9,13.6,區,路段,,中,0.00%,4,112.21,11,97,1,NULL,83,,低,NULL,NULL,5,53.47806
YG000946,鶯歌區,文化路, ,國慶街,中山路,29088.19,1382.6,25.2,市,路段,2377.09055,高,8.17%,12,36382.85,11,97,11,NULL,746,,高,312,1,10,60.47776
YG001477,鶯歌區,中正一路, ,中正一路,中正一路,35389.08,1644.7,21.5,市,路段,92.83994156,高,0.26%,3,12,11,97,1,NULL,174,,高,105,NULL,20,33.99076
YG001484,鶯歌區,中正三路, ,中正二路,中正三路,31306.88,2458.1,12.7,區,路段,1.229072843,中,0.00%,23,711.75,11,9,5,NULL,613,,高,1,NULL,12,44.70638
YG001489,鶯歌區,鶯桃路, ,鶯桃路,建國路,47949.14,2761.3,17.4,市,路段,4322.837396,高,9.02%,16,1031.48,11,9,5,NULL,507,,高,776,16,165,31.08395
YG001492,鶯歌區,鶯桃路二段, ,鶯桃路二段,鶯桃路二段,3862.37,199.4,19.4,市,路段,66.67351238,高,1.73%,1,14.4,11,9,1,NULL,22,,低,25,NULL,2,30.61838
YG001493,鶯歌區,八德路, ,八德路,中正二路,21322.02,1742.1,12.2,市,路段,183.2960925,中,0.86%,8,118.67,11,9,4,NULL,80,,低,24,NULL,2,25.57777
YG002099,鶯歌區,文化路, ,中正一路,重慶街,1225.87,113.2,9.8,市,路段,34.02066043,中,2.78%,3,36303.78,11,9,6,NULL,16,,低,26,NULL,2,93.31477
YH000257,永和區,安樂路, ,中正路,安樂路,142.93,15,9.5,區,路段,0.024915863,中,0.02%,0,NULL,11,,,3,1,,低,1,NULL,NULL,94.65671
YH000317,永和區,成功路(秀朗路三段), ,秀朗路三段,成功路(秀朗路三段),1031.49,93.6,11,區,路段,0.008630791,中,0.00%,4,121.4,11,,,3,159,,低,3,1,NULL,100
YH000319,永和區,秀朗路三段, ,秀朗路二段,成功路(秀朗路三段),1211.6,125.7,9.6,區,路段,0.053108832,中,0.00%,1,15,11,,,3,67,,低,1,NULL,NULL,61.66118
YH000320,永和區,永和路一段, ,永和路二段,中和路,10197.44,628.6,16.2,市,路段,1.315852928,高,0.01%,16,939.8,11,,,3,936,,高,21,1,17,96.53237
YH000381,永和區,秀朗路二段, ,秀朗路一段,永元路,2788.94,261.5,10.7,區,路段,0.000204269,中,0.00%,3,17,11,98,,3,94,,中,1,NULL,9,91.28909
YH000382,永和區,秀朗路一段, ,中正路,秀朗路二段,2429.74,286.8,8.5,區,路段,0.064296476,中,0.00%,5,45.95,11,98,,3,119,,低,5,NULL,1,80.82955
YH000403,永和區,中正路, ,民治街,安樂路,9654.43,723.2,13.3,區,路段,19.99417859,中,0.21%,16,202.7,11,98,,3,965,,中,18,NULL,6,83.53518
YH000412,永和區,秀朗路一段, ,永貞路,中正路,971.99,95.3,10.2,區,路段,,中,0.00%,2,1.35,11,98,,3,67,,低,NULL,NULL,1,100
YH000416,永和區,秀朗路一段, ,自由街,永貞路,3071.94,336.3,9.1,區,路段,5.171126405,中,0.17%,3,409,11,98,,3,252,,低,5,NULL,NULL,92.06671
YH000417,永和區,秀朗路一段, ,永和路一段,自由街,1207.31,141.4,8.5,區,路段,,中,0.00%,1,200,11,98,,3,85,,低,NULL,NULL,NULL,100
YH000480,永和區,中和路, ,永貞路,景安路,3476.25,624.5,5.6,市,路段,,低,0.00%,5,98.84,11,98,,3,273,,高,NULL,NULL,11,89.60974
YH000484,永和區,秀朗路二段, ,四維街,秀朗路三段,434.09,37.6,11.5,區,路段,,中,0.00%,0,NULL,11,98,,3,8,,低,NULL,NULL,NULL,78.23438
YH000486,永和區,秀朗路二段, ,得和路,四維街,982.11,113.1,8.7,區,路段,,中,0.00%,0,NULL,11,98,,3,22,,低,NULL,NULL,NULL,77.16568
YH000488,永和區,秀朗路二段, ,永元路,得和路,6346.73,638.3,9.9,區,路段,0.006499039,中,0.00%,12,1424.48,11,98,,3,409,,高,6,NULL,26,89.54754
YH000499,永和區,中正路, ,得和路,民治街,2334.1,158.1,14.8,區,路段,,中,0.00%,6,139.6,11,98,,3,264,,中,NULL,NULL,8,52.93105
YH000503,永和區,中正路, ,永貞路,秀朗路一段,969.82,65.5,14.8,區,路段,,中,0.00%,0,NULL,11,98,,3,62,,低,NULL,NULL,1,93.28735
YH000505,永和區,中正路, ,福和路,永貞路,4513.03,310.8,14.5,區,路段,,中,0.00%,9,154.2,11,98,,3,526,,中,NULL,3,4,87.93465
YH000506,永和區,中正路, ,大新街,福和路,1134.04,77.2,14.7,區,路段,,中,0.00%,2,74.2,11,98,,3,40,,低,NULL,NULL,3,93.04068
YH000508,永和區,中正路, ,豫溪街,大新街,2800.06,189.3,14.8,區,路段,0.004522168,中,0.00%,4,202.68,11,98,,3,134,,中,1,2,5,84.26067
YH000509,永和區,中正路, ,永和路二段,豫溪街,2158.99,146.1,14.8,區,路段,,中,0.00%,3,47.8,11,98,,3,131,,低,NULL,1,3,74.90732
YH000510,永和區,中山路一段, ,永平路,永和路二段,10125.55,485.6,20.9,區,路段,0.154752829,高,0.00%,10,1050.2,11,98,,3,622,,低,16,1,2,82.43032
YH000512,永和區,中山路一段, ,永貞路,永平路,3905.78,190.2,20.5,區,路段,,高,0.00%,7,380,11,98,,3,216,,低,NULL,NULL,1,96.17838
YH000515,永和區,中山路一段, ,中山路一段,永貞路,7830.69,372.9,21,區,路段,0.568002784,高,0.01%,9,569.2,11,98,,3,330,,低,11,NULL,NULL,81.68161
YH000517,永和區,中和路, ,永和路一段,永貞路,1159.39,64.7,17.9,市,路段,26.15273218,高,2.26%,4,70.54,11,98,,3,102,,低,8,NULL,3,82.81274
YH000543,永和區,永和路二段, ,永和路二段,永和路一段,29004.65,1206.9,24,市,路段,0.69547563,高,0.00%,17,417.1,11,98,,3,703,,高,19,2,9,94.53851
YH002140,永和區,秀朗路一段8巷, ,永和路一段,秀朗路一段,284,35,8.1,區,路段,,中,0.00%,3,215.8,11,98,,3,20,,低,NULL,NULL,NULL,100
YH002187,永和區,中正路, ,秀朗路一段,得和路,5227.23,358.7,14.6,區,路段,0.001233099,中,0.00%,7,55.2,11,98,,3,527,,中,1,NULL,10,89.68238
